,vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type,vehicle_construction_year,load_capacity,scheduled_maintenance,position_latitude,position_longitude,vehicle_status,licence_plate,predicted_maintenance_probability,predicted_weeks_until_maintenance
194,313,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2007,6923,8,39.27189088,-114.64520629,on time,NRL-195,0.02258759,30
195,315,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2005,5856,14,36.58742463,-94.20043375,delayed,NRL-196,0.02258759,30
196,316,4,Parcel Delivery,Step Van,Diesel,Conventional,2015,6006,18,48.28810999,-116.23988356,on time,NRL-197,0.02258759,30
197,317,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2017,6408,4,36.38636284,-103.91808701,on time,NRL-198,0.02258759,30
198,319,4,Parcel Delivery,Step Van,Diesel,Conventional,2000,6414,9,41.63912117,-96.30615289,unused,NRL-199,0.02258759,30
199,320,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2010,6682,0,45.33450728,-95.48416205,maintenance,NRL-200,0.02258759,30
200,321,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2010,5644,21,45.73025675,-93.0943819,delayed,NRL-201,0.02258759,30
201,322,4,Parcel Delivery,Step Van,Diesel,Conventional,2002,6456,10,49.16067366,-110.38880863,on time,NRL-202,0.02258759,30
202,323,4,Parcel Delivery,Step Van,Diesel,Conventional,2002,6951,21,45.18721062,-113.19344551,delayed,NRL-203,0.02258759,30
203,324,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2017,5787,1,49.80850839,-104.59491286,on time,NRL-204,0.02258759,30
204,325,4,Parcel Delivery,Step Van,Diesel,Conventional,2004,6111,6,48.52900397,-83.65721459,on time,NRL-205,0.02258759,30
205,326,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2000,6824,5,43.85414555,-113.38823441,delayed,NRL-206,0.9671788,1
206,327,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2014,6292,11,44.10952057,-92.99805846,unused,NRL-207,0.041027363,30
207,328,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2017,6458,7,40.32268142,-87.66238904,on time,NRL-208,0.02258759,30
208,329,4,Parcel Delivery,Step Van,Diesel,Conventional,2007,6415,1,46.73304497,-99.23930208,delayed,NRL-209,0.02258759,30
209,330,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2003,5504,9,36.27310094,-87.49278354,on time,NRL-210,0.02258759,30
210,331,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2017,6051,7,34.004917600000006,-87.23743358,idle,NRL-211,0.02258759,30
211,332,4,Parcel Delivery,Step Van,Diesel,Parallel Hybrid,2006,5624,5,36.77426977,-82.70888225,delayed,NRL-212,0.03308119,30
212,567,3,Food Delivery,Straight Truck,Diesel,Conventional,2009,5210,6,35.98314757,-86.34574886,idle,NRL-213,0.041027363,30
213,569,3,Food Delivery,Straight Truck,Diesel,Conventional,2010,3042,10,49.91514017,-91.61843772,delayed,NRL-214,0.02258759,30
214,570,3,Food Delivery,Straight Truck,Diesel,Conventional,2013,3378,7,48.478059,-82.96142859,on time,NRL-215,0.02258759,30
215,571,3,Food Delivery,Straight Truck,Diesel,Conventional,2006,3122,5,39.19876789,-83.60942232,delayed,NRL-216,0.02258759,30
216,572,3,Food Delivery,Straight Truck,Diesel,Conventional,2006,4745,6,49.07536093,-93.30703021,on time,NRL-217,0.02258759,30
217,573,3,Food Delivery,Straight Truck,Diesel,Conventional,2016,4530,4,42.74084984,-92.7931043,delayed,NRL-218,0.04632076,30
218,574,3,Food Delivery,Straight Truck,Diesel,Conventional,2016,5267,2,40.2576061,-95.18007737,accident,NRL-219,0.02258759,30
219,575,3,Food Delivery,Straight Truck,Diesel,Conventional,2012,3296,10,43.2108542,-97.14808263,delayed,NRL-220,0.02258759,30
220,576,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2009,5697,20,37.50979938,-113.9588575,unused,NRL-221,0.041027363,30
221,577,4,Parcel Delivery,Walk In,Diesel,Parallel Hybrid,2000,6017,0,45.56692449,-93.00417625,maintenance,NRL-222,0.02258759,30
222,578,4,Parcel Delivery,Walk In,Diesel,Conventional,2016,5507,16,34.38030997,-94.98691493,delayed,NRL-223,0.02258759,30
223,579,4,Parcel Delivery,Walk In,Diesel,Conventional,2009,6986,3,47.80810298,-116.24494579999998,accident,NRL-224,0.02258759,30
